"id","tree","Sp","x","y","h.dist","dbh","h","dead","v.user","w.user"
1,1,21,0.985300000058487,1.93800000008196,2.174088335,30.8,14,NA,NA,0.204526784
1,2,21,-1.87870000000112,1.8410000000149,2.630360183,28.3,13.7,NA,NA,0.1689717722
1,3,21,0.508299999986775,-4.38800000026822,4.417342288,38.9,16.7,NA,NA,0.3891673478
1,4,21,5.03029999998398,0.314000000245869,5.040090683,32.4,14.3,NA,NA,0.2311781472
1,5,21,-1.80369999993127,4.99100000038743,5.306921395,36.7,13.1,NA,NA,0.2717215886
1,6,21,6.29229999997187,3.5570000000298,7.228090224,27.4,13.6,NA,NA,0.1572391744
1,7,21,3.6203000000678,6.58899999968708,7.518077752,26.9,13,NA,NA,0.144866722
1,8,21,2.59830000007059,-7.16799999959767,7.624394198,32.2,14.5,NA,NA,0.231526372
1,9,21,1.63030000007711,-9.5910000000149,9.728574361,30.3,15.3,NA,NA,0.2163203658
1,10,21,10.3263000000734,0.498999999836087,10.33834961,24.7,12.8,NA,NA,0.1202609408
1,11,21,-8.10470000002533,6.99700000043958,10.70720183,26.8,15.2,NA,NA,0.1681256192
1,12,21,7.94929999997839,-8.74799999967217,11.82027388,36,14.4,NA,NA,0.28740096
1,13,21,1.67130000004545,11.7599999997765,11.87816668,30.9,14.7,NA,NA,0.2161498878
1,14,21,11.8823000000557,-1.70199999958277,12.00357685,30,12.8,NA,NA,0.177408
1,15,21,-11.9817000000039,2.33999999985099,12.20806024,31.9,15.7,NA,NA,0.2460377458
1,16,21,-10.3336999999592,6.57400000002235,12.24756432,29,13.8,NA,NA,0.17872932
1,17,21,11.9163000000408,4.80900000035763,12.85008509,26.4,11,NA,NA,0.118065024
1,18,21,-13.7637000000104,1.60599999967963,13.85708027,28.8,15.7,NA,NA,0.2005420032
1,19,21,6.89329999999609,-12.6349999997765,14.39308201,31.6,14.8,NA,NA,0.2275917952
1,20,21,-3.46869999996852,-14,14.42331029,35.9,14.3,NA,NA,0.2838217382
1,21,21,8.14029999997001,11.9630000004545,14.46989472,36.2,15,NA,NA,0.30271164
1,22,21,-10.2496999999275,10.2309999996796,14.48204789,32.4,15.8,NA,NA,0.2554276032
1,23,21,-5.51469999994151,14.0570000000298,15.10003858,30.5,15,NA,NA,0.21488775
1,24,21,3.95429999998305,-14.9570000004023,15.47088677,24,12,NA,NA,0.1064448
1,25,21,8.91830000001937,-12.9340000003576,15.71064706,32,14.8,NA,NA,0.23339008
1,26,21,-15.7467000000179,-2.94500000029802,16.0197249,26.3,16.3,NA,NA,0.1736280238
1,27,21,-9.62069999997038,-12.9340000003576,16.11974642,25.5,14.9,NA,NA,0.149206365
