"id","tree","Sp","horizontal.distance","dbh","total.height","dead","x","y"
1,1,21,2.174088335,30.8,14,NA,0.985300000058487,1.93800000008196
1,2,21,2.630360183,28.3,13.7,NA,-1.87870000000112,1.8410000000149
1,3,21,4.417342288,38.9,16.7,NA,0.508299999986775,-4.38800000026822
1,4,21,5.040090683,32.4,14.3,NA,5.03029999998398,0.314000000245869
1,5,21,5.306921395,36.7,13.1,NA,-1.80369999993127,4.99100000038743
1,6,21,7.228090224,27.4,13.6,NA,6.29229999997187,3.5570000000298
1,7,21,7.518077752,26.9,13,NA,3.6203000000678,6.58899999968708
1,8,21,7.624394198,32.2,14.5,NA,2.59830000007059,-7.16799999959767
1,9,21,9.728574361,30.3,15.3,NA,1.63030000007711,-9.5910000000149
1,10,21,10.33834961,24.7,12.8,NA,10.3263000000734,0.498999999836087
1,11,21,10.70720183,26.8,15.2,NA,-8.10470000002533,6.99700000043958
1,12,21,11.82027388,36,14.4,NA,7.94929999997839,-8.74799999967217
1,13,21,11.87816668,30.9,14.7,NA,1.67130000004545,11.7599999997765
1,14,21,12.00357685,30,12.8,NA,11.8823000000557,-1.70199999958277
1,15,21,12.20806024,31.9,15.7,NA,-11.9817000000039,2.33999999985099
1,16,21,12.24756432,29,13.8,NA,-10.3336999999592,6.57400000002235
1,17,21,12.85008509,26.4,11,NA,11.9163000000408,4.80900000035763
1,18,21,13.85708027,28.8,15.7,NA,-13.7637000000104,1.60599999967963
1,19,21,14.39308201,31.6,14.8,NA,6.89329999999609,-12.6349999997765
1,20,21,14.42331029,35.9,14.3,NA,-3.46869999996852,-14
1,21,21,14.46989472,36.2,15,NA,8.14029999997001,11.9630000004545
1,22,21,14.48204789,32.4,15.8,NA,-10.2496999999275,10.2309999996796
1,23,21,15.10003858,30.5,15,NA,-5.51469999994151,14.0570000000298
1,24,21,15.47088677,24,12,NA,3.95429999998305,-14.9570000004023
1,25,21,15.71064706,32,14.8,NA,8.91830000001937,-12.9340000003576
1,26,21,16.0197249,26.3,16.3,NA,-15.7467000000179,-2.94500000029802
1,27,21,16.11974642,25.5,14.9,NA,-9.62069999997038,-12.9340000003576
1,28,21,16.12956367,29.5,11.5,NA,2.04029999999329,-16
1,29,21,16.63359108,27.6,13.8,NA,-9.91969999996945,13.3519999999553
1,30,21,16.8229182,28.4,15,NA,9.88829999999143,13.6100000003353
1,31,21,16.89760185,32.5,15.8,NA,-16.5426999999909,3.44500000029802
1,32,21,17.13649406,26.3,11.5,NA,16.9113000000361,2.76900000032037
1,33,21,17.54761096,25.5,14.7,NA,-12.5376999999862,-12.276999999769
1,34,21,17.84558345,31,14.8,NA,11.1793000000762,13.910000000149
1,35,21,18.00094338,27.8,14.6,NA,-5.63870000001043,17.0949999997392
1,36,21,18.038715,28.9,13.9,NA,6.98129999998491,-16.63300000038
1,37,21,18.13905802,24.8,15.4,NA,-17.3837000000058,5.17999999970198
1,38,21,18.44328166,33.7,17.4,NA,-16.3526999999303,8.52900000009686
1,39,21,18.46870172,24,14.5,NA,2.31530000001658,-18.3229999998584
1,40,21,18.94267236,22,16,NA,-13.2626999999629,-13.5250000003725
1,41,21,18.96189751,33.8,12.8,NA,-10.3776999999536,15.8700000001118
1,42,21,19.15372889,32.6,16.8,NA,-10.2156999999424,-16.2019999995828
1,43,21,19.17455894,23.1,12.7,NA,-1.15069999999832,-19.1399999996647
1,44,21,19.51337325,34.1,16,NA,-19.0337000000291,-4.29999999981374
2,1,21,3.012081713,36.5,13.6,NA,-0.220499999937601,-3.00399999972433
2,2,21,3.037936183,22,14,NA,2.99549999996088,0.506000000052154
2,3,21,4.622072398,30.1,13,NA,3.0635000000475,3.46100000012666
2,4,21,5.28110256,25.5,12.3,NA,4.92050000000745,1.91799999959767
2,5,21,6.13735898,29.5,15.2,NA,4.65049999998882,-4.00499999988824
2,6,21,8.006437426,20.4,12.7,NA,7.08449999999721,-3.73000000044703
2,7,21,8.463167153,30,12.8,NA,-7.09349999995902,4.61600000038743
2,8,21,8.554516892,27.8,12.6,NA,8.55449999996927,0.0169999999925494
2,9,21,9.318569056,26.3,11.5,NA,-2.06449999997858,9.08700000029057
2,10,21,10.48398613,26,13.2,NA,5.48450000002049,-8.93499999959022
2,11,21,11.01296233,24.7,12.8,NA,-8.64949999994133,6.81699999980628
2,12,21,11.27324653,28.5,13.5,NA,11.0535000000382,-2.21499999985099
2,13,21,11.27412512,26.5,14.3,NA,8.11250000004657,-7.82899999991059
2,14,21,11.29108508,36,14.4,NA,-11.0265000000363,-2.42999999970198
2,15,21,12.0384701,32,14.8,NA,-10.0574999999953,-6.61600000038743
2,16,21,12.28730663,31.8,15.2,NA,10.595500000054,-6.22200000006706
2,17,21,13.17750619,26.4,11,NA,-7.05949999997392,11.1270000003278
2,18,21,13.37472131,28,14.3,NA,8.35750000004191,-10.4419999998063
2,19,21,13.57409781,29,13,NA,6.03850000002421,12.1569999996573
2,20,21,13.6341958,31.6,14.8,NA,-12.0825000000186,-6.31699999980628
2,21,21,14.32466035,34,14.4,NA,6.28549999999814,-12.8720000004396
2,22,21,14.58831845,26.4,13.4,NA,12.3425000000279,-7.77699999976903
2,23,21,14.82559946,26,13.8,NA,14.7704999999842,-1.27699999976903
2,24,21,15.2533146,34.2,15.3,NA,-2.44550000003073,-15.0559999998659
2,25,21,15.38232812,31,13.9,NA,11.5984999999637,10.1040000002831
2,26,21,15.44216287,32.4,14.3,NA,-13.9455000000307,6.63200000021607
2,27,21,15.4985703,26.9,13.3,NA,1.28749999997672,15.445000000298
