"id","file","tree","x","y","phi","phi.left","phi.right","h.dist","dbh","h","v","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion"
1,"1.txt",1,-2.06884488097512,2.05688254119869,2.35914345062278,2.31745261541625,2.39660918411146,2.91811224411085,23.9444021759811,11.7253291484374,0.244432111382071,3779,83.3333333333333,230.757378972139,41.4027893135759,0
1,"1.txt",2,1.08464931548345,-3.94377795983236,4.98077704274762,4.93718516789847,5.022963411418,4.09022700954296,34.2832047242885,13.2637751484374,0.55387931608376,2759.66666666667,77.6666666666667,330.394653698134,59.2798388434082,0
1,"1.txt",3,5.13998617209312,1.45771030079709,0.276351795504078,0.249179460497785,0.296047365234118,5.34269513907801,28.5509269125918,12.7405831484375,0.371656515030478,1190,59.6666666666667,275.151453486011,49.368031950913,1
1,"1.txt",4,3.58892352033563,-6.41953632058785,5.222168903692,5.20225631932245,5.24442224379712,7.35466652829493,32.0100595478285,12.3980221484376,0.456915638070827,775.666666666667,75,308.487862328364,55.34929381963,0
1,"1.txt",5,5.67621704669591,5.05427065258806,0.727420136301959,0.712359439546011,0.744441582003927,7.60065469529045,24.4783535732274,11.3885191484374,0.249597429562975,583.333333333333,59.3333333333333,235.903183992516,42.32605634866,0
1,"1.txt",6,2.60290120744267,7.27339997730831,1.22713803260727,1.21359398352683,1.23624579793866,7.7252478998331,18.9740150348565,10.4197891484375,0.139898374280365,359.666666666667,39,182.856683822889,32.8083842372481,1
1,"1.txt",7,3.03160017160124,-9.02375656326589,5.03649851806492,5.024491492423,5.05136730473845,9.51939281305992,24.184288065716,11.9913851484375,0.253880565573301,341.333333333333,50.6666666666667,233.069211139041,41.8175812502884,0
1,"1.txt",8,10.220565239109,2.03248369638681,0.196301580946757,0.191950253051087,0.204033843431719,10.4207176412813,21.3101804064228,11.1693151484376,0.186285762510124,162,28,205.370814433712,36.8478988582335,1
1,"1.txt",9,-8.98228352382509,6.21047586979406,2.5366509597632,2.52743610327135,2.54850029854603,10.920239945282,27.5166562570315,10.5771791484376,0.297656216707218,234.333333333333,48.6666666666667,265.183963637203,47.5796519474928,0
1,"1.txt",10,9.13006115791209,-7.23995516456718,5.61273847413171,5.60290908117726,5.62851433329074,11.6522935589944,46.0902908246782,11.6945541484375,0.903768617445605,281.666666666667,58.6666666666667,444.182094361712,79.6957295651257,0
1,"1.txt",11,-0.162604634704431,11.8279901799414,1.58454415301301,1.57292541150736,1.59681234415656,11.8291132023555,27.7331435329701,10.0174871484371,0.290005569154074,248.333333333333,54.6666666666667,267.270298305709,47.9539848295118,0
1,"1.txt",12,11.9736291297241,0.27495913066816,0.0229596800609505,0.0154670481250962,0.0295314261686619,11.9768305146569,21.0929007809714,10.5890231484374,0.175054274138416,154.666666666667,38,203.276843721696,36.4721959073483,1
1,"1.txt",13,-10.8793743508918,5.45291594268654,2.67697213299918,2.66713706269498,2.68859021509746,12.1694664214594,28.3558870124007,9.66227714843746,0.295025072221983,236,57,273.271811813093,49.0307841952161,0
1,"1.txt",14,-12.1926365041331,0.879267546056597,3.06959970524584,3.05830290222934,3.08135768681532,12.2243209403493,36.5350572659406,11.7398711484374,0.569639567477358,244.333333333333,53.6666666666667,352.096243344194,63.1735663068061,0
1,"1.txt",15,11.0957714444666,7.05694892297608,0.566462611834209,0.560229764409248,0.574718561074153,13.149840788314,20.6219345341917,9.93882414843744,0.159392866062471,130.333333333333,35.3333333333333,198.738040209608,35.657837873019,1
1,"1.txt",16,-14.01144957389,-0.212292122775883,3.15674159451292,3.15011741760306,3.16766168852075,14.0130800927145,22.1010080743202,10.0703311484375,0.184914234798981,122.666666666667,39.3333333333333,212.992191594079,38.2153362691433,1
1,"1.txt",17,8.76700756791618,-11.381629491746,5.36874244859513,5.36019007623291,5.37790631192648,14.3667138088952,28.4546211357886,11.9126971484375,0.349599653048292,140.666666666667,50.6666666666667,274.223333899995,49.2015075266507,0
1,"1.txt",18,6.12916221023889,13.3110632401511,1.1392815455224,1.12886234568446,1.15046696965369,14.6543999029161,32.6086436203674,13.2634631484375,0.501082647165404,158.333333333333,52.3333333333333,314.25654640986,56.3843186266661,0
1,"1.txt",19,-11.6071381655007,9.04822414293587,2.47945233820652,2.46857611722137,2.48668506159321,14.7172494733785,30.1281532590695,13.2828521484374,0.4282648473754,165.333333333333,56,290.35152467944,52.0952485104703,0
1,"1.txt",20,6.32689737511864,-13.6602026975354,5.14614544104967,5.13962305473935,5.15236515478971,15.0543102675605,24.3599582799351,9.14306914843747,0.208995962449048,99,33.3333333333333,234.762182961796,42.1213364584798,0
1,"1.txt",21,-7.66936158057965,13.3650031776629,2.09175883913135,2.08358374355181,2.10087203201395,15.4091695470876,30.1279207354008,13.4357131484374,0.432327286174098,135.666666666667,52.3333333333333,290.349283798589,52.0948464487111,0
1,"1.txt",22,10.8703136882623,-11.3079176542948,5.4780606734954,5.4677691973411,5.48480097854562,15.6854456941349,28.6310518772302,9.29332714843758,0.292191378101491,143,55.3333333333333,275.923635087971,49.5065777790904,1
1,"1.txt",23,-7.61422730413594,-13.9923796557121,4.21403287692706,4.20981273585569,4.21708380557659,15.929948818441,21.7611104469992,12.1007671484375,0.207062019362559,57,26,209.716524696112,37.6276118503531,1
1,"1.txt",24,-15.191261438887,-4.9126944759377,3.45436698439992,3.44752600790575,3.46134103542083,15.9658721432421,24.7630411571358,9.49791114843748,0.222132737748259,109,44.3333333333333,238.646779769341,42.8183158742947,0
