"id","file","tree","x","y","phi","phi.left","phi.right","h.dist","dbh","h","v","SS.max","sinuosity","lean","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion"
"PinusRadiata","PinusRadiata.txt",1,0.322833333333333,3.07216666666667,1.46609199272656,1.41313580634089,1.51561671037525,3.08912716164854,32.4748783970588,17.671,0.663848140773106,0.458626872301792,1.01649140733913,87.5105326205098,8933,79,2841.61595213446,75.3632182229253,0
"PinusRadiata","PinusRadiata.txt",2,-3.74433333333333,-2.02666666666667,3.63769641203752,3.59841389691045,3.68169336213642,4.25770393247446,34.5777129698222,19.082,0.805750997063596,0.220290106955481,1.00527477452421,87.7094069998712,5050.66666666667,91.6666666666667,3025.61812740375,80.2431866359321,0
"PinusRadiata","PinusRadiata.txt",3,4.72941666666667,-0.321916666666667,6.21529675459006,6.16165751212214,6.26838912798136,4.74042622305114,50.2457042657386,22.158,1.94662731456383,0.0799569942675067,1.00163237602466,74.0365927053963,5551.33333333333,108.666666666667,4396.59828813045,116.603299604237,0
"PinusRadiata","PinusRadiata.txt",4,-0.70825,-5.23875,4.57799019307644,4.53177345658799,4.62143711213455,5.28651456939566,45.7010721864871,23.637,1.70813030571968,0.0362889308543402,1.00082726109649,82.7727661728181,4393,112.333333333333,3998.93401191402,106.056744357935,0
"PinusRadiata","PinusRadiata.txt",5,-3.22533333333333,-4.6575,4.10671361636446,4.08233487545518,4.13103720069321,5.66525912015587,27.9218850047982,20.413,0.558152001953222,0.0689457397543265,1.00140510061975,87.4109336887893,2219,59.3333333333333,2443.22004452785,64.7972591947447,0
"PinusRadiata","PinusRadiata.txt",6,-6.91883333333333,1.416,2.93972032210176,2.91721524516499,2.96308412620841,7.0622461480808,34.6395885236446,18.214,0.775814025722359,0.0764340939947772,1.00180784584412,87.548712482319,1585.33333333333,64,3031.03236048074,80.3867788861743,0
"PinusRadiata","PinusRadiata.txt",7,-5.69,-5.4505,3.90550385551759,3.88626706793562,3.9258177322562,7.8794785626746,30.3861342739193,17.886,0.587447606372955,0.181930321333141,1.0028685879736,84.9871215316096,1300.33333333333,70,2658.84671901617,70.5159489817794,0
"PinusRadiata","PinusRadiata.txt",8,2.11408333333333,9.37925,1.34910306030083,1.32419537382579,1.37347805337862,9.61456131570353,44.5156742410805,16.679,1.18555868528046,0.21474031396513,1.00504374455431,86.8858757302861,1393.33333333333,118,3895.20935219058,103.305836319161,0
"PinusRadiata","PinusRadiata.txt",9,7.82566666666667,5.90516666666667,0.646426925365903,0.632758631943648,0.659240407214179,9.80368968342631,27.7536910869467,17.909,0.490629602434666,0.344482491869293,1.00565813667503,86.7062165671032,655.666666666667,55.6666666666667,2428.50274476848,64.4069379507409,0
"PinusRadiata","PinusRadiata.txt",10,-2.296,9.68616666666667,1.80354034734988,1.79382149595677,1.81430794795753,9.95458929356828,27.4526757345357,2.891,0.166564546448305,0.0833845587531705,1.0045511653852,84.7202164023981,541.666666666667,50.3333333333333,2402.16330734887,63.7083830427028,1
