"id","file","tree","x","y","phi","h.dist","dbh","h","h.mer","v","v.mer","SS.max","sinuosity","lean","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion"
"PiceaAbies","PiceaAbies.txt",1,-0.627416666666667,2.22761666666667,1.84534110883335,2.31437490608857,45.9899818249842,27.506,11.0534122957274,1.18695079414567,1.07403665127899,1.38310311572238,1.19233772906664,24.5643600241217,190,96,623.669462489827,324.152135453509,1
"PiceaAbies","PiceaAbies.txt",2,1.67115,-3.40455,5.16869457425098,3.79259448696233,55.2189046309053,28.752,13.1921225799816,1.77494896417893,1.6681614938082,0.385818998456454,1.0111437719412,88.3675566826021,235.666666666667,120,748.822747995194,389.200542014299,0
"PiceaAbies","PiceaAbies.txt",3,5.08160833333333,-4.729725,5.53368131757609,6.94225640027442,35.3701175743694,25.944,8.02598516624901,0.669323598393638,0.54635222615777,0.290383016502737,1.01858811643324,87.0592125759771,63.3333333333333,29.6666666666667,479.653640650608,249.29992768001,0
"PiceaAbies","PiceaAbies.txt",4,2.88095833333333,6.56760833333333,1.15741066502043,7.17170956012752,56.1095468440857,32.061,14.7808346340003,2.00824854731979,1.88965473727801,0.155016763362923,1.00748907458185,88.6628570795174,324,165,760.900733859134,395.478073856476,1
"PiceaAbies","PiceaAbies.txt",5,-4.64025,-6.52818333333333,4.09445031361791,8.00931580968287,41.2699849522349,29.736,10.7692502253211,1.01967214402123,0.889503301753435,0.464690083165275,1.11570325380193,86.4009297598865,850,438.333333333333,559.661654794151,290.884084349293,1
"PiceaAbies","PiceaAbies.txt",6,-0.189891666666667,-8.49459166666667,4.69003827727413,8.49671387253784,38.5069492695462,24.171,8.31352975003304,0.749415566904527,0.640585716336774,0.074707429646736,1.00283809131555,88.7677268790672,710.333333333333,365.333333333333,522.192168817391,271.409323078758,1
"PiceaAbies","PiceaAbies.txt",7,9.81355,-3.6279,5.92903284245956,10.4631316246648,25.1865585535871,24.471,4.10229494987825,0.323785158732974,0.183994694559283,0.153951500832335,1.0086996188163,86.6425103823433,16,8.33333333333333,341.554547572157,177.522939037885,0
"PiceaAbies","PiceaAbies.txt",8,-11.7697121309885,-1.21639349984032,3.24458837752982,11.832490648646,41.9448641984385,36.932,13.3800712110828,1.26733392272619,1.10569698756085,0.922889638111689,1.0367500497945,83.0434790269526,81.6666666666667,40.3333333333333,568.813682258026,295.640849630537,0
"PiceaAbies","PiceaAbies.txt",9,4.68700833333333,11.358825,1.17944303477178,12.2878689422855,24.8349009233659,26.147,4.13262766167294,0.33207541893228,0.18099073681358,0.276488503862414,1.01313867271823,86.8156834116053,36,19.3333333333333,336.78572365622,175.044343325051,0
"PiceaAbies","PiceaAbies.txt",10,-6.31775,10.7789666666667,2.10093862118728,12.4940108855633,26.7297047477788,26.721,5.10506898267049,0.391548691973753,0.243198513451191,0.334222251201759,1.01546852749121,89.0402851016899,29.6666666666667,15.3333333333333,362.48113026004,188.399528119128,0
"PiceaAbies","PiceaAbies.txt",11,-11.0384166666667,-9.70655,3.8628762471671,14.6991188286367,60.8268402877891,31.382,15.2289276008452,2.3177114558429,2.20685288712424,0.136326151578146,1.00146673806424,89.3542685296811,768,380,824.871880393552,428.727070326107,1
"PiceaAbies","PiceaAbies.txt",12,-12.8541416666667,7.53764166666667,2.61121983420189,14.9016825176163,15.6684538409323,27.675,0,0.138467585133293,0,0.322974066409071,1.01820420104827,89.7227679343296,16.6666666666667,6.66666666666667,212.4796705119,110.43628569198,1
"PiceaAbies","PiceaAbies.txt",13,-4.094925,14.3358416666667,1.84902837882132,14.9094141127423,21.1713432629999,28.547,2.1533064076807,0.259374929179813,0.0782349563907009,0.39746317099387,1.11041115763815,9.38527695062752,14.3333333333333,7.33333333333333,287.104272475483,149.222414464893,0
